chinese,english,source,refs_list
吉凶未卜,uncertain whether it will be good or bad,JSON,['uncertain whether it will be good or bad']
庖丁解牛,having a deep understanding of a subject or problem,JSON,['having a deep understanding of a subject or problem']
严阵以待,being prepared and ready for a battle or incoming challenge,JSON,['being prepared and ready for a battle or incoming challenge']
千沟万壑,a myriad of obstacles and difficulties,JSON,['a myriad of obstacles and difficulties']
降格以求,Lowering one's standard in order to obtain something,JSON,"[""lowering one's standard in order to obtain something""]"
身败名裂,to suffer a complete loss of reputation and credibility,JSON,['to suffer a complete loss of reputation and credibility']
酒池肉林,"an extravagant and debauched place, full of drinking, feasting, and indulgence",JSON,"['an extravagant and debauched place, full of drinking, feasting, and indulgence']"
独立王国,an independent kingdom,JSON,['an independent kingdom']
黄卷青灯,a scene of studying late into the night,JSON,['a scene of studying late into the night']
三朝元老,senior statesmen with experience serving in three different eras,JSON,['senior statesmen with experience serving in three different eras']
招降纳叛,accepting surrender and pardoning traitors; also refers to subduing rebels and integrating them into one's own forces,JSON,"['accepting surrender and pardoning traitors', ""also refers to subduing rebels and integrating them into one's own forces""]"
开山祖师,founder or originator of a certain field or discipline,JSON,['founder or originator of a certain field or discipline']
落拓不羁,carefree and unconstrained; living a bohemian or unconventional lifestyle,JSON,"['carefree and unconstrained', 'living a bohemian or unconventional lifestyle']"
如饥如渴,to be extremely eager or thirsty for something,JSON,['to be extremely eager or thirsty for something']
不关紧要,not important,JSON,['not important']
少见多怪,being surprised by something rare or uncommon,JSON,['being surprised by something rare or uncommon']
炯炯有神,"having bright and sharp eyes, showing strong intelligence and vitality",JSON,"['having bright and sharp eyes, showing strong intelligence and vitality']"
量材录用,hiring people based on their abilities and qualifications,JSON,['hiring people based on their abilities and qualifications']
横征暴敛,imposing heavy taxes and levying excessive fees,JSON,['imposing heavy taxes and levying excessive fees']
横眉怒目,glaring angrily with eyebrows raised,JSON,['glaring angrily with eyebrows raised']
文质彬彬,cultured and refined in appearance and manners,JSON,['cultured and refined in appearance and manners']
秉公办事,carry out tasks impartially and justly,JSON,['carry out tasks impartially and justly']
哭笑不得,not knowing whether to laugh or cry; being in a state of confusion or perplexity,JSON,"['not knowing whether to laugh or cry', 'being in a state of confusion or perplexity']"
恩怨分明,clear distinction between gratitude and grudges,JSON,['clear distinction between gratitude and grudges']
以卵投石,to use one's weaker advantage to challenge or confront a stronger opponent,JSON,"[""to use one's weaker advantage to challenge or confront a stronger opponent""]"
步步登高,"""steady advancement"" or ""making progress step by step""",JSON,"['steady advancement', 'making progress step by step']"
打狗看主,Judging a person based on their master; also refers to understanding the essence of a matter by analyzing its key elements,JSON,"['judging a person based on their master', 'also refers to understanding the essence of a matter by analyzing its key elements']"
探赜索隐,digging deep to uncover hidden truths,JSON,['digging deep to uncover hidden truths']
食言而肥,breaking one's promise and benefiting oneself,JSON,"[""breaking one's promise and benefiting oneself""]"
假戏真做,"pretend play, actually do",JSON,"['pretend play, actually do']"
望梅止渴,to alleviate one's thirst by imagining oneself near a plum tree,JSON,"[""to alleviate one's thirst by imagining oneself near a plum tree""]"
桀骜不驯,"refusing to be tamed or controlled, rebellious and untamed",JSON,"['refusing to be tamed or controlled, rebellious and untamed']"
悄然无声,quietly and without any sound,JSON,['quietly and without any sound']
祸国殃民,to bring disaster to the country and the people,JSON,['to bring disaster to the country and the people']
鼻青眼肿,having a bruised nose and swollen eyes; usually used to describe someone who has been beaten or injured,JSON,"['having a bruised nose and swollen eyes', 'usually used to describe someone who has been beaten or injured']"
活龙活现,vivid and lifelike; full of vitality and energy,JSON,"['vivid and lifelike', 'full of vitality and energy']"
言归正传,getting back to the main topic or point,JSON,['getting back to the main topic or point']
不顾一切,"regardless of everything, without considering the consequences",JSON,"['regardless of everything, without considering the consequences']"
遗臭万载,leaving behind a bad reputation for thousands of years,JSON,['leaving behind a bad reputation for thousands of years']
疾言厉色,"speaking forcefully and sternly, showing strong disapproval",JSON,"['speaking forcefully and sternly, showing strong disapproval']"
加减乘除,basic arithmetic operations,JSON,['basic arithmetic operations']
能言善辩,"skilled in speech and argumentation, able to eloquently express oneself",JSON,"['skilled in speech and argumentation, able to eloquently express oneself']"
判若鸿沟,"a clear division or separation, with a significant difference between two things or groups",JSON,"['a clear division or separation, with a significant difference between two things or groups']"
深思远虑,thinking deeply and considering future consequences,JSON,['thinking deeply and considering future consequences']
泼天大祸,a massive disaster that affects everything,JSON,['a massive disaster that affects everything']
狗眼看人,judging someone solely based on their appearance or initial impression,JSON,['judging someone solely based on their appearance or initial impression']
安贫乐道,content with a simple and frugal life,JSON,['content with a simple and frugal life']
前途无量,a future with limitless potential,JSON,['a future with limitless potential']
腾云驾雾,move swiftly and gracefully; be confident and unstoppable,JSON,"['move swiftly and gracefully', 'be confident and unstoppable']"
百孔千疮,full of holes and wounds; refers to something that is severely damaged or flawed,JSON,"['full of holes and wounds', 'refers to something that is severely damaged or flawed']"
